Metadata_model_split	Metadata_Plate	metric	metric_value	dataset	shuffle	permutation
test	218852	avg_precision	0.49682539682539684	cb5083	True	2
test	218856	avg_precision	0.4257575757575757	cb5083	True	2
training	218696	avg_precision	0.5466607036374478	cb5083	True	2
training	218852	avg_precision	0.6228260869565216	cb5083	True	2
training	218856	avg_precision	0.5793372319688109	cb5083	True	2
validation	218774	avg_precision	0.4772727272727273	cb5083	True	2
test	218698	accuracy	0.5555555555555556	ixazomib	True	2
test	218854	accuracy	0.47619047619047616	ixazomib	True	2
training	218698	accuracy	0.4523809523809524	ixazomib	True	2
training	218854	accuracy	0.41025641025641024	ixazomib	True	2
validation	218858	accuracy	0.45	ixazomib	True	2
test	218698	avg_precision	0.37777777777777777	ixazomib	True	2
test	218854	avg_precision	0.41071428571428575	ixazomib	True	2
training	218698	avg_precision	0.5405643738977072	ixazomib	True	2
training	218854	avg_precision	0.5048076923076923	ixazomib	True	2
validation	218858	avg_precision	0.478	ixazomib	True	2
test	207106_exposure320	accuracy	1.0	cloneAE	True	3
test	218361	accuracy	0.6666666666666666	cloneAE	True	3
test	HCT116bortezomib	accuracy	1.0	cloneAE	True	3
training	207106_exposure320	accuracy	0.42857142857142855	cloneAE	True	3
training	218361	accuracy	0.5555555555555556	cloneAE	True	3
training	HCT116bortezomib	accuracy	0.5	cloneAE	True	3
validation	218360	accuracy	0.5333333333333333	cloneAE	True	3
test	207106_exposure320	avg_precision	1.0	cloneAE	True	3
test	218361	avg_precision	0.6111111111111112	cloneAE	True	3
test	HCT116bortezomib	avg_precision	1.0	cloneAE	True	3
training	207106_exposure320	avg_precision	0.5357142857142857	cloneAE	True	3
training	218361	avg_precision	0.7904761904761906	cloneAE	True	3
training	HCT116bortezomib	avg_precision	0.61	cloneAE	True	3
validation	218360	avg_precision	0.6256410256410256	cloneAE	True	3
test	218696	accuracy	0.6470588235294118	cb5083	True	3
test	218852	accuracy	0.45	cb5083	True	3
test	218856	accuracy	0.45454545454545453	cb5083	True	3
training	218696	accuracy	0.4186046511627907	cb5083	True	3
training	218852	accuracy	0.375	cb5083	True	3
training	218856	accuracy	0.47368421052631576	cb5083	True	3
validation	218774	accuracy	0.6833333333333333	cb5083	True	3
test	218696	avg_precision	0.45098039215686275	cb5083	True	3
test	218852	avg_precision	0.3285714285714285	cb5083	True	3
test	218856	avg_precision	0.4426136363636364	cb5083	True	3
training	218696	avg_precision	0.5289557683538533	cb5083	True	3
training	218852	avg_precision	0.5295893719806763	cb5083	True	3
training	218856	avg_precision	0.5105263157894737	cb5083	True	3
validation	218774	avg_precision	0.6204761904761904	cb5083	True	3
test	218698	accuracy	0.4444444444444444	ixazomib	True	3
test	218854	accuracy	0.6190476190476191	ixazomib	True	3
training	218698	accuracy	0.47619047619047616	ixazomib	True	3
training	218854	accuracy	0.38461538461538464	ixazomib	True	3
validation	218858	accuracy	0.43333333333333335	ixazomib	True	3
test	218698	avg_precision	0.3055555555555556	ixazomib	True	3
test	218854	avg_precision	0.5064935064935064	ixazomib	True	3
training	218698	avg_precision	0.5616071428571429	ixazomib	True	3
training	218854	avg_precision	0.4890906195254021	ixazomib	True	3
validation	218858	avg_precision	0.47222222222222227	ixazomib	True	3
test	207106_exposure320	accuracy	0.5	cloneAE	True	4
test	218361	accuracy	0.3333333333333333	cloneAE	True	4
test	HCT116bortezomib	accuracy	1.0	cloneAE	True	4
training	207106_exposure320	accuracy	0.5714285714285714	cloneAE	True	4
training	218361	accuracy	0.7777777777777778	cloneAE	True	4
training	HCT116bortezomib	accuracy	0.5	cloneAE	True	4
validation	218360	accuracy	0.5333333333333333	cloneAE	True	4
test	207106_exposure320	avg_precision	1.0	cloneAE	True	4
test	218361	avg_precision	0.4444444444444445	cloneAE	True	4
test	HCT116bortezomib	avg_precision	1.0	cloneAE	True	4
training	207106_exposure320	avg_precision	0.5928571428571427	cloneAE	True	4
training	218361	avg_precision	0.8458049886621315	cloneAE	True	4
training	HCT116bortezomib	avg_precision	0.5821428571428571	cloneAE	True	4
validation	218360	avg_precision	0.6666666666666666	cloneAE	True	4
test	218696	accuracy	0.35294117647058826	cb5083	True	4
test	218852	accuracy	0.6	cb5083	True	4
test	218856	accuracy	0.5909090909090909	cb5083	True	4
training	218696	accuracy	0.6046511627906976	cb5083	True	4
training	218852	accuracy	0.525	cb5083	True	4
training	218856	accuracy	0.631578947368421	cb5083	True	4
validation	218774	accuracy	0.6	cb5083	True	4
test	218696	avg_precision	0.3128342245989305	cb5083	True	4
test	218852	avg_precision	0.42467532467532465	cb5083	True	4
test	218856	avg_precision	0.5050505050505051	cb5083	True	4
training	218696	avg_precision	0.6127131782945736	cb5083	True	4
training	218852	avg_precision	0.5967391304347827	cb5083	True	4
training	218856	avg_precision	0.6033492822966507	cb5083	True	4
validation	218774	avg_precision	0.5588235294117647	cb5083	True	4
test	218698	accuracy	0.3888888888888889	ixazomib	True	4
test	218854	accuracy	0.38095238095238093	ixazomib	True	4
training	218698	accuracy	0.38095238095238093	ixazomib	True	4
training	218854	accuracy	0.5641025641025641	ixazomib	True	4
validation	218858	accuracy	0.5833333333333334	ixazomib	True	4
test	218698	avg_precision	0.3015873015873016	ixazomib	True	4
test	218854	avg_precision	0.3888888888888889	ixazomib	True	4
training	218698	avg_precision	0.5227272727272727	ixazomib	True	4
training	218854	avg_precision	0.5765160765160766	ixazomib	True	4
validation	218858	avg_precision	0.55	ixazomib	True	4
test	207106_exposure320	accuracy	0.5	cloneAE	True	5
test	218361	accuracy	0.6666666666666666	cloneAE	True	5
test	HCT116bortezomib	accuracy	1.0	cloneAE	True	5
training	207106_exposure320	accuracy	0.5714285714285714	cloneAE	True	5
training	218361	accuracy	0.4444444444444444	cloneAE	True	5
training	HCT116bortezomib	accuracy	0.625	cloneAE	True	5
validation	218360	accuracy	0.4	cloneAE	True	5
test	207106_exposure320	avg_precision	1.0	cloneAE	True	5
test	218361	avg_precision	0.6111111111111112	cloneAE	True	5
test	HCT116bortezomib	avg_precision	1.0	cloneAE	True	5
training	207106_exposure320	avg_precision	0.5928571428571427	cloneAE	True	5
training	218361	avg_precision	0.7142857142857143	cloneAE	True	5
training	HCT116bortezomib	avg_precision	0.6583333333333333	cloneAE	True	5
validation	218360	avg_precision	0.5939393939393939	cloneAE	True	5
test	218696	accuracy	0.4117647058823529	cb5083	True	5
test	218852	accuracy	0.55	cb5083	True	5
test	218856	accuracy	0.6363636363636364	cb5083	True	5
training	218696	accuracy	0.4186046511627907	cb5083	True	5
training	218852	accuracy	0.525	cb5083	True	5
training	218856	accuracy	0.5526315789473685	cb5083	True	5
validation	218774	accuracy	0.5	cb5083	True	5
test	218696	avg_precision	0.3186274509803922	cb5083	True	5
test	218852	avg_precision	0.36071428571428565	cb5083	True	5
test	218856	avg_precision	0.548051948051948	cb5083	True	5
training	218696	avg_precision	0.526468788249694	cb5083	True	5
training	218852	avg_precision	0.5800724637681159	cb5083	True	5
training	218856	avg_precision	0.5533834586466164	cb5083	True	5
validation	218774	avg_precision	0.5	cb5083	True	5
test	218698	accuracy	0.6666666666666666	ixazomib	True	5
test	218854	accuracy	0.38095238095238093	ixazomib	True	5
training	218698	accuracy	0.6428571428571429	ixazomib	True	5
training	218854	accuracy	0.6153846153846154	ixazomib	True	5
validation	218858	accuracy	0.55	ixazomib	True	5
test	218698	avg_precision	0.4444444444444444	ixazomib	True	5
test	218854	avg_precision	0.38888888888888884	ixazomib	True	5
training	218698	avg_precision	0.6679197994987468	ixazomib	True	5
training	218854	avg_precision	0.6002747252747253	ixazomib	True	5
validation	218858	avg_precision	0.5277777777777778	ixazomib	True	5
test	207106_exposure320	accuracy	0.0	cloneAE	True	6
test	218361	accuracy	0.3333333333333333	cloneAE	True	6
test	HCT116bortezomib	accuracy	1.0	cloneAE	True	6
training	207106_exposure320	accuracy	0.5714285714285714	cloneAE	True	6
training	218361	accuracy	0.7777777777777778	cloneAE	True	6
training	HCT116bortezomib	accuracy	0.625	cloneAE	True	6
validation	218360	accuracy	0.6666666666666666	cloneAE	True	6
test	207106_exposure320	avg_precision	1.0	cloneAE	True	6
test	218361	avg_precision	0.43333333333333335	cloneAE	True	6
test	HCT116bortezomib	avg_precision	1.0	cloneAE	True	6
training	207106_exposure320	avg_precision	0.6190476190476191	cloneAE	True	6
training	218361	avg_precision	0.8458049886621315	cloneAE	True	6
training	HCT116bortezomib	avg_precision	0.625	cloneAE	True	6
validation	218360	avg_precision	0.7444444444444445	cloneAE	True	6
test	218696	accuracy	0.47058823529411764	cb5083	True	6
test	218852	accuracy	0.5	cb5083	True	6
test	218856	accuracy	0.5454545454545454	cb5083	True	6
training	218696	accuracy	0.4883720930232558	cb5083	True	6
training	218852	accuracy	0.5	cb5083	True	6
training	218856	accuracy	0.5789473684210527	cb5083	True	6
validation	218774	accuracy	0.5166666666666667	cb5083	True	6
test	218696	avg_precision	0.3305322128851541	cb5083	True	6
test	218852	avg_precision	0.3747252747252747	cb5083	True	6
test	218856	avg_precision	0.48636363636363633	cb5083	True	6
training	218696	avg_precision	0.5544089147286821	cb5083	True	6
training	218852	avg_precision	0.5731366459627328	cb5083	True	6
training	218856	avg_precision	0.575657894736842	cb5083	True	6
validation	218774	avg_precision	0.5085585585585586	cb5083	True	6
test	218698	accuracy	0.7222222222222222	ixazomib	True	6
test	218854	accuracy	0.42857142857142855	ixazomib	True	6
training	218698	accuracy	0.47619047619047616	ixazomib	True	6
training	218854	accuracy	0.5641025641025641	ixazomib	True	6
validation	218858	accuracy	0.4	ixazomib	True	6
test	218698	avg_precision	0.49206349206349204	ixazomib	True	6
test	218854	avg_precision	0.39682539682539686	ixazomib	True	6
training	218698	avg_precision	0.5616071428571429	ixazomib	True	6
training	218854	avg_precision	0.5765160765160766	ixazomib	True	6
validation	218858	avg_precision	0.459375	ixazomib	True	6
test	207106_exposure320	accuracy	1.0	cloneAE	True	7
test	218361	accuracy	0.8333333333333334	cloneAE	True	7
test	HCT116bortezomib	accuracy	0.0	cloneAE	True	7
training	207106_exposure320	accuracy	0.42857142857142855	cloneAE	True	7
training	218361	accuracy	0.7777777777777778	cloneAE	True	7
training	HCT116bortezomib	accuracy	0.5	cloneAE	True	7
validation	218360	accuracy	0.6666666666666666	cloneAE	True	7
test	207106_exposure320	avg_precision	1.0	cloneAE	True	7
test	218361	avg_precision	0.75	cloneAE	True	7
test	HCT116bortezomib	avg_precision	1.0	cloneAE	True	7
training	207106_exposure320	avg_precision	0.5357142857142857	cloneAE	True	7
training	218361	avg_precision	0.9365079365079365	cloneAE	True	7
training	HCT116bortezomib	avg_precision	0.61	cloneAE	True	7
validation	218360	avg_precision	0.6897435897435897	cloneAE	True	7
test	218696	accuracy	0.4117647058823529	cb5083	True	7
test	218852	accuracy	0.4	cb5083	True	7
test	218856	accuracy	0.5909090909090909	cb5083	True	7
training	218696	accuracy	0.5348837209302325	cb5083	True	7
training	218852	accuracy	0.7	cb5083	True	7
training	218856	accuracy	0.42105263157894735	cb5083	True	7
validation	218774	accuracy	0.4166666666666667	cb5083	True	7
test	218696	avg_precision	0.33986928104575165	cb5083	True	7
test	218852	avg_precision	0.32582417582417583	cb5083	True	7
test	218856	avg_precision	0.509090909090909	cb5083	True	7
training	218696	avg_precision	0.5758897110641297	cb5083	True	7
training	218852	avg_precision	0.7050207039337473	cb5083	True	7
training	218856	avg_precision	0.4935672514619883	cb5083	True	7
validation	218774	avg_precision	0.46505376344086025	cb5083	True	7
test	218698	accuracy	0.4444444444444444	ixazomib	True	7
test	218854	accuracy	0.38095238095238093	ixazomib	True	7
training	218698	accuracy	0.47619047619047616	ixazomib	True	7
training	218854	accuracy	0.6153846153846154	ixazomib	True	7
validation	218858	accuracy	0.5333333333333333	ixazomib	True	7
test	218698	avg_precision	0.31666666666666665	ixazomib	True	7
test	218854	avg_precision	0.38571428571428573	ixazomib	True	7
training	218698	avg_precision	0.5680803571428571	ixazomib	True	7
training	218854	avg_precision	0.6117216117216118	ixazomib	True	7
validation	218858	avg_precision	0.5177083333333333	ixazomib	True	7
test	207106_exposure320	accuracy	0.0	cloneAE	True	8
test	218361	accuracy	0.8333333333333334	cloneAE	True	8
test	HCT116bortezomib	accuracy	1.0	cloneAE	True	8
training	207106_exposure320	accuracy	0.2857142857142857	cloneAE	True	8
training	218361	accuracy	0.4444444444444444	cloneAE	True	8
training	HCT116bortezomib	accuracy	0.5	cloneAE	True	8
validation	218360	accuracy	0.6	cloneAE	True	8
test	207106_exposure320	avg_precision	1.0	cloneAE	True	8
test	218361	avg_precision	0.75	cloneAE	True	8
test	HCT116bortezomib	avg_precision	1.0	cloneAE	True	8
training	207106_exposure320	avg_precision	0.5119047619047619	cloneAE	True	8
training	218361	avg_precision	0.7658730158730158	cloneAE	True	8
training	HCT116bortezomib	avg_precision	0.5821428571428571	cloneAE	True	8
validation	218360	avg_precision	0.6452380952380953	cloneAE	True	8
test	218696	accuracy	0.47058823529411764	cb5083	True	8
test	218852	accuracy	0.4	cb5083	True	8
test	218856	accuracy	0.5	cb5083	True	8
training	218696	accuracy	0.4418604651162791	cb5083	True	8
training	218852	accuracy	0.5	cb5083	True	8
training	218856	accuracy	0.42105263157894735	cb5083	True	8
validation	218774	accuracy	0.43333333333333335	cb5083	True	8
test	218696	avg_precision	0.3431372549019608	cb5083	True	8
test	218852	avg_precision	0.32582417582417583	cb5083	True	8
test	218856	avg_precision	0.45454545454545453	cb5083	True	8
training	218696	avg_precision	0.5314922480620156	cb5083	True	8
training	218852	avg_precision	0.5694706994328922	cb5083	True	8
training	218856	avg_precision	0.49523026315789476	cb5083	True	8
validation	218774	avg_precision	0.47058823529411764	cb5083	True	8
test	218698	accuracy	0.5	ixazomib	True	8
test	218854	accuracy	0.5238095238095238	ixazomib	True	8
training	218698	accuracy	0.47619047619047616	ixazomib	True	8
training	218854	accuracy	0.5384615384615384	ixazomib	True	8
validation	218858	accuracy	0.55	ixazomib	True	8
test	218698	avg_precision	0.3333333333333333	ixazomib	True	8
test	218854	avg_precision	0.443001443001443	ixazomib	True	8
training	218698	avg_precision	0.5616071428571429	ixazomib	True	8
training	218854	avg_precision	0.559668401773665	ixazomib	True	8
validation	218858	avg_precision	0.5277777777777778	ixazomib	True	8
test	207106_exposure320	accuracy	1.0	cloneAE	True	9
test	218361	accuracy	0.6666666666666666	cloneAE	True	9
test	HCT116bortezomib	accuracy	1.0	cloneAE	True	9
training	207106_exposure320	accuracy	0.5714285714285714	cloneAE	True	9
training	218361	accuracy	0.5555555555555556	cloneAE	True	9
training	HCT116bortezomib	accuracy	0.75	cloneAE	True	9
validation	218360	accuracy	0.4666666666666667	cloneAE	True	9
test	207106_exposure320	avg_precision	1.0	cloneAE	True	9
test	218361	avg_precision	0.6	cloneAE	True	9
test	HCT116bortezomib	avg_precision	1.0	cloneAE	True	9
training	207106_exposure320	avg_precision	0.5928571428571427	cloneAE	True	9
training	218361	avg_precision	0.873015873015873	cloneAE	True	9
training	HCT116bortezomib	avg_precision	0.7142857142857143	cloneAE	True	9
validation	218360	avg_precision	0.6266666666666667	cloneAE	True	9
test	218696	accuracy	0.29411764705882354	cb5083	True	9
test	218852	accuracy	0.55	cb5083	True	9
test	218856	accuracy	0.4090909090909091	cb5083	True	9
training	218696	accuracy	0.627906976744186	cb5083	True	9
training	218852	accuracy	0.55	cb5083	True	9
training	218856	accuracy	0.5	cb5083	True	9
validation	218774	accuracy	0.5166666666666667	cb5083	True	9
test	218696	avg_precision	0.30147058823529416	cb5083	True	9
test	218852	avg_precision	0.3976190476190476	cb5083	True	9
test	218856	avg_precision	0.4181818181818182	cb5083	True	9
training	218696	avg_precision	0.6470176571920758	cb5083	True	9
training	218852	avg_precision	0.591304347826087	cb5083	True	9
training	218856	avg_precision	0.5291228070175439	cb5083	True	9
validation	218774	avg_precision	0.5085714285714286	cb5083	True	9
test	218698	accuracy	0.5555555555555556	ixazomib	True	9
test	218854	accuracy	0.47619047619047616	ixazomib	True	9
training	218698	accuracy	0.5238095238095238	ixazomib	True	9
training	218854	accuracy	0.5128205128205128	ixazomib	True	9
validation	218858	accuracy	0.43333333333333335	ixazomib	True	9
test	218698	avg_precision	0.35416666666666663	ixazomib	True	9
test	218854	avg_precision	0.421957671957672	ixazomib	True	9
training	218698	avg_precision	0.5896164021164021	ixazomib	True	9
training	218854	avg_precision	0.5487637362637362	ixazomib	True	9
validation	218858	avg_precision	0.4708333333333333	ixazomib	True	9
test	207106_exposure320	accuracy	0.5	cloneAE	True	10
test	218361	accuracy	0.6666666666666666	cloneAE	True	10
test	HCT116bortezomib	accuracy	1.0	cloneAE	True	10
training	207106_exposure320	accuracy	0.5714285714285714	cloneAE	True	10
training	218361	accuracy	0.6666666666666666	cloneAE	True	10
training	HCT116bortezomib	accuracy	0.75	cloneAE	True	10
validation	218360	accuracy	0.4666666666666667	cloneAE	True	10
test	207106_exposure320	avg_precision	1.0	cloneAE	True	10
test	218361	avg_precision	0.6111111111111112	cloneAE	True	10
test	HCT116bortezomib	avg_precision	1.0	cloneAE	True	10
training	207106_exposure320	avg_precision	0.5928571428571427	cloneAE	True	10
training	218361	avg_precision	0.8174603174603174	cloneAE	True	10
training	HCT116bortezomib	avg_precision	0.7650000000000001	cloneAE	True	10
validation	218360	avg_precision	0.6083333333333334	cloneAE	True	10
test	218696	accuracy	0.4117647058823529	cb5083	True	10
test	218852	accuracy	0.6	cb5083	True	10
test	218856	accuracy	0.5454545454545454	cb5083	True	10
training	218696	accuracy	0.5348837209302325	cb5083	True	10
training	218852	accuracy	0.625	cb5083	True	10
training	218856	accuracy	0.4473684210526316	cb5083	True	10
validation	218774	accuracy	0.5333333333333333	cb5083	True	10
test	218696	avg_precision	0.33986928104575165	cb5083	True	10
test	218852	avg_precision	0.403968253968254	cb5083	True	10
test	218856	avg_precision	0.4772727272727273	cb5083	True	10
training	218696	avg_precision	0.5728359173126616	cb5083	True	10
training	218852	avg_precision	0.6510869565217391	cb5083	True	10
training	218856	avg_precision	0.5040247678018576	cb5083	True	10
validation	218774	avg_precision	0.5175925925925926	cb5083	True	10
test	218698	accuracy	0.4444444444444444	ixazomib	True	10
test	218854	accuracy	0.23809523809523808	ixazomib	True	10
training	218698	accuracy	0.47619047619047616	ixazomib	True	10
training	218854	accuracy	0.5128205128205128	ixazomib	True	10
validation	218858	accuracy	0.5166666666666667	ixazomib	True	10
test	218698	avg_precision	0.31666666666666665	ixazomib	True	10
test	218854	avg_precision	0.3626373626373627	ixazomib	True	10
training	218698	avg_precision	0.5584415584415584	ixazomib	True	10
training	218854	avg_precision	0.5487637362637362	ixazomib	True	10
validation	218858	avg_precision	0.5086666666666667	ixazomib	True	10
test	207106_exposure320	accuracy	1.0	cloneAE	True	11
test	218361	accuracy	0.3333333333333333	cloneAE	True	11
test	HCT116bortezomib	accuracy	1.0	cloneAE	True	11
training	207106_exposure320	accuracy	0.5714285714285714	cloneAE	True	11
training	218361	accuracy	0.6666666666666666	cloneAE	True	11
training	HCT116bortezomib	accuracy	0.5	cloneAE	True	11
validation	218360	accuracy	0.4	cloneAE	True	11
test	207106_exposure320	avg_precision	1.0	cloneAE	True	11
test	218361	avg_precision	0.43333333333333335	cloneAE	True	11
test	HCT116bortezomib	avg_precision	1.0	cloneAE	True	11
training	207106_exposure320	avg_precision	0.6190476190476191	cloneAE	True	11
training	218361	avg_precision	0.753968253968254	cloneAE	True	11
training	HCT116bortezomib	avg_precision	0.61	cloneAE	True	11
validation	218360	avg_precision	0.6111111111111112	cloneAE	True	11
test	218696	accuracy	0.4117647058823529	cb5083	True	11
test	218852	accuracy	0.55	cb5083	True	11
test	218856	accuracy	0.5	cb5083	True	11
training	218696	accuracy	0.46511627906976744	cb5083	True	11
training	218852	accuracy	0.4	cb5083	True	11
training	218856	accuracy	0.6578947368421053	cb5083	True	11
validation	218774	accuracy	0.5666666666666667	cb5083	True	11
test	218696	avg_precision	0.3264705882352941	cb5083	True	11
test	218852	avg_precision	0.3976190476190476	cb5083	True	11
test	218856	avg_precision	0.45874125874125876	cb5083	True	11
training	218696	avg_precision	0.5399393326592518	cb5083	True	11
training	218852	avg_precision	0.5320393374741201	cb5083	True	11
training	218856	avg_precision	0.6340557275541796	cb5083	True	11
validation	218774	avg_precision	0.5375	cb5083	True	11
test	218698	accuracy	0.5	ixazomib	True	11
test	218854	accuracy	0.38095238095238093	ixazomib	True	11
training	218698	accuracy	0.47619047619047616	ixazomib	True	11
training	218854	accuracy	0.5897435897435898	ixazomib	True	11
validation	218858	accuracy	0.5	ixazomib	True	11
test	218698	avg_precision	0.3333333333333333	ixazomib	True	11
test	218854	avg_precision	0.38571428571428573	ixazomib	True	11
training	218698	avg_precision	0.5616071428571429	ixazomib	True	11
training	218854	avg_precision	0.5953458306399483	ixazomib	True	11
validation	218858	avg_precision	0.5	ixazomib	True	11
test	207106_exposure320	accuracy	0.5	cloneAE	True	12
test	218361	accuracy	0.6666666666666666	cloneAE	True	12
test	HCT116bortezomib	accuracy	1.0	cloneAE	True	12
training	207106_exposure320	accuracy	0.7142857142857143	cloneAE	True	12
training	218361	accuracy	0.5555555555555556	cloneAE	True	12
training	HCT116bortezomib	accuracy	0.5	cloneAE	True	12
validation	218360	accuracy	0.6	cloneAE	True	12
test	207106_exposure320	avg_precision	1.0	cloneAE	True	12
test	218361	avg_precision	0.6111111111111112	cloneAE	True	12
test	HCT116bortezomib	avg_precision	1.0	cloneAE	True	12
training	207106_exposure320	avg_precision	0.7053571428571428	cloneAE	True	12
training	218361	avg_precision	0.7324263038548753	cloneAE	True	12
training	HCT116bortezomib	avg_precision	0.61	cloneAE	True	12
validation	218360	avg_precision	0.6666666666666666	cloneAE	True	12
test	218696	accuracy	0.35294117647058826	cb5083	True	12
test	218852	accuracy	0.4	cb5083	True	12
test	218856	accuracy	0.6818181818181818	cb5083	True	12
training	218696	accuracy	0.4418604651162791	cb5083	True	12
training	218852	accuracy	0.325	cb5083	True	12
training	218856	accuracy	0.4473684210526316	cb5083	True	12
validation	218774	accuracy	0.4	cb5083	True	12
